xdata,sentiment,text
0.9642374334332623,0.48245614035087714,let  take  nice  easy   gonna   easy  us  fall  love hey baby    hurry relax     worry   gonna fall  love     road  romance     safe  say  let  make   stops along  way  problem   course   simply hold  horses  rush would   crime  cause nice  easy   nice  n  easy   nice  n  easy   every time  like  man says   one  time    nice  n  easy   nice  n  easy   nice  n  easy   every time
0.9986287155652516,-0.026666666666666675,ol  macdonald   farm  e  e      farm    chick  purtiest chick  know   little curve    little curve   chick    curves everywhere ol  macdonald   farm  e  e    oh   chick     walk  e  e      walk would drive  em wild swingin     fro   little wiggle    little wiggle  man   chick  wiggles  spare ol  macdonald   farm  e  e     went walkin   town  e  e    local gentry popped  eyes tarnation    show    goldang      goshdarn    heavens  betsy    declare ol  macdonald   farm e  e      barn dance saturday night  e  e     fellas came  miles around   see   si    promenade    promenade    square dance  boy   chick   square ol  macdonald   farm  e  e    used    travelling man  e     hit macdonald  place things  mighty slow   little chick    little chick       real chick anywhere ol  macdonald   farm  e  e    farmer  daughter knocked    e  e    ah hah  asked macdonald   hand  pappy hollered  go    little curve    little wiggle    goldang      goshdarn     si     promenade  got   private county fair  cause ol  macdonald   farm  e     
0.6126701449563782,-0.05,sentimental baby  sweet  gentle baby   way  baby oughta  heaven   morning  heaven   evening     angel get    cuddle  caress   snuggle    yes      guy  loves  clinging vine kiss   baby  kiss       baby    sentimental baby  tell     baby sentimental baby  mine instrumental first line  second verse    guy  loves  clinging vine kiss   baby  kiss       baby     sentimental baby  tell     baby sentimental baby  mine
0.7817168653482045,0.4428571428571429,like moonlight looks   country side  like  rose   silvered  dew like sunlight looks   meadow  love looks  well   like children look   carousel    joys  feel shining  like picnics look   sunday  love looks  well     bright   starlight   eyes   stardust   hair  oh   expression   face   one   always wear everyday  grow even lovelier  yes      darling     love  every day   life  cause love looks  well  
0.7153868959611019,0.37510822510822517,sleep warm  sleep tight    turn   light sleep warm  sleep well   love rest  head   pillow    lucky pillow close     close    night sleep warm  sleep well  let dreams within  dwell sweet dreams     love close  eyes   kiss    whisper  miss  sleep tight  sleep well  sleep warm
0.5458550799253387,0.3125, want  see  face  every kind  light  fields  dawn  forests   night    stand   candles   cake oh  let    one  hear  silent wish  make      rest   life  north  south  east  west   life    one request   life   spend       seasons   times   days   nickels   dimes   days let  reasons   rhymes   days  begin  end    want  see  face  every kind  light   fields  dawn   forests   night    stand   candles   cake oh  let    one  hear  silent wish  make  tomorrows waiting deep   eyes   world  love   keep   eyes   awaken   asleep   eyes  may take  kiss  two     life summer  winter  spring   fall   life   ever  recall   life     life  
0.5325862417537778,0.12249999999999998,verse 1   summer smiles   summer knows   unashamed   sheds  clothes  summer smoothes  restless sky  lovingly  warms  sand    lie  summer knows   summer  wise   sees  doubts within  eyes    takes  summertime  tells  moon  wait   sun  linger twist  world around  summer finger lets  see  wonder       learned  lesson well   little     tell one last caress    time  dress  fall
0.43359970221789446,0.3722222222222223,writer   bergman bergman legrand summer   winter     kisses morning   evening     world slips far away  star away forever   love wonder   wander     fire pleasure   peaceful     silence quietly  whisper  forever   love forever   love  ev ry day   gentle   tender   oh   way   velvet   clover    wrap    ribbon   rainbow   shower   shine  suddenly  magically  found           plan  let  happy   summer  winter   always  mine 
0.22497562896053058,0.3277777777777778, music  moves    music  makes   dancer  brought   wildest  dreams    came    answer  leave behind  part    whenever  leave   oh     back   arms  smiles       home   cause l     lady   always    l     lady  knows   care    lady  sweeter    know   moment  meet      love  times    care  remember  love  kept  cool  july  warm  december  may   lasted    time  thought   heaven  name        back lookin   someone       faithful  l     lady   always    l     lady  knows   care     good     yeah   good       l     lady   l     lady    lookin    man      ever plan  kiss  lady bye bye
0.03956760641150925,0.1891991341991342, lorrie     keep  music playing     make  last   keep  song  fading  fast    lose   someone   never lose  way     run   new things  say  frank   funny valentine sweet comic valentine  make  smile   heart  lorrie   since  know   always changing  frank   looks  laughable  lorrie         frank  unphotographable yet    favourite work  art  lorrie    sure  heart  fall apart   time  hear  name  frank    figure less  greek   mouth  little weak   open   speak   smart   lorrie       best  lovers  yet   best  friends    try  every day   make  better   goes  frank     change one hair      care      stay little valentine  please stay  lorrie    luck   suppose   music never ends  frank   day  valentine   valentine  day  frank  winter time  lorrie  winter time  frank  summer time  lorrie  summer time  frank  evening time  lorrie  evening time  frank    time     love 
